"astro-ph/0103056","Tom Shanks","T. Shanks (Durham), B.J. Boyle (AAO), S.M. Croom (AAO), F. Hoyle
  (Drexel), N. Loaring (Oxford), L. Miller (Oxford), P.J. Outram (Durham), R.J.
  Smith (LJMU)","The 2dF QSO Redshift Survey - 10K@2K!","11 pages, 6 figures, latex, eso and springer sty files included. To
  appear in the proceedings of the MPA/ESO/MPA conference ""Mining the Sky"",
  Garching, July 31 - August 4 2000, eds. A.J. Banday et al",,"10.1007/10849171_10",,"astro-ph",,"  With ~10000 QSO redshifts, the 2dF QSO Redshift Survey (2QZ) is already the
biggest individual QSO survey. The aim for the survey is to have ~25000 QSO
redshifts, providing an order of magnitude increase in QSO clustering
statistics. We first describe the observational parameters of the 2dF QSO
survey. We then describe several highlights of the survey so far; we present
new estimates of the QSO luminosity function and the QSO correlation function.
We also present the first estimate of the QSO power spectrum from the 2QZ
catalogue, probing the form of the fluctuation power-spectrum out to the
\~1000h-1Mpc scales only previously probed by COBE. We find a power spectrum
which is steeper than the prediction of standard CDM and more consistent with
the prediction of Lambda-CDM. The best-fit value for the power spectrum shape
parameter for a range of cosmologies is Gamma=0.1+-0.1. Finally, we discuss how
the complete QSO survey will be able to constrain the value of Omega_Lambda by
combining results from the evolution of QSO clustering and from a geometric
test of clustering isotropy.
","[{""version"":""v1"",""created"":""Sat, 3 Mar 2001 16:52:24 GMT""}]","2009-11-06"
"astro-ph/0103057","Ulf Torkelsson","U. Torkelsson, G. I. Ogilvie, A. Brandenburg, J. E. Pringle, AA.
  Nordlund, R. F. Stein","Magnetohydrodynamic turbulence in warped accretion discs","to appear in the proceedings of the 20th Texas Symposium on
  Relativistic Astrophysics, J. C. Wheeler & H. Martel (eds.)",,"10.1063/1.1419636","NORDITA-2001-4AP","astro-ph",,"  Warped, precessing accretion discs appear in a range of astrophysical
systems, for instance the X-ray binary Her X-1 and in the active nucleus of
NGC4258. In a warped accretion disc there are horizontal pressure gradients
that drive an epicyclic motion. We have studied the interaction of this
epicyclic motion with the magnetohydrodynamic turbulence in numerical
simulations. We find that the turbulent stress acting on the epicyclic motion
is comparable in size to the stress that drives the accretion, however an
important ingredient in the damping of the epicyclic motion is its parametric
decay into inertial waves.
","[{""version"":""v1"",""created"":""Sat, 3 Mar 2001 17:34:50 GMT""}]","2009-11-06"
"astro-ph/0103058","Stephen Holland","S. Holland (1 and 2), J. P. U. Fynbo (3), J. Hjorth (4), J. Gorosabel
  (5), H. Pedersen (4), M. I. Andersen (6), A. Dar (7), B. Thomsen (1), P.
  Moller (3), G. Bjornsson (8), A. O. Jaunsen (3), P. Natarajan (9), N. Tanvir
  (10) ((1) Aarhus, (2) Notre Dame, (3) ESO, (4) Copenhagen, (5) DSRI, (6)
  Oulu, (7) Technion, (8) Iceland, (9) Yale, (10) Hertfordshire)","The Host Galaxy and Optical Light Curve of the Gamma-Ray Burst GRB
  980703","9 pages, 5 figures, LaTeX using A&A Document Class v4.05, to appear
  in A&A","Astron.Astrophys. 371 (2001) 52","10.1051/0004-6361:20010311",,"astro-ph",,"  We present deep HST/STIS and ground-based photometry of the host galaxy of
the gamma-ray burst GRB 980703 taken 17, 551, 710, and 716 days after the
burst. We find that the host is a blue, slightly over-luminous galaxy with
V_gal = 23.00 +/- 0.10, (V-R)_gal = 0.43 +/- 0.13, and a centre that is
approximately 0.2 mag bluer than the outer regions of the galaxy. The galaxy
has a star-formation rate of 8-13 M_sun/yr, assuming no extinction in the host.
We find that the galaxy is best fit by a Sersic R^(1/n) profile with n ~= 1.0
and a half-light radius of 0.13 arcsec (= 0.72/h_100 proper kpc). This
corresponds to an exponential disk with a scale radius of 0.22 arcsec (=
1.21/h_100 proper kpc). Subtracting a fit with elliptical isophotes leaves
large residuals, which suggests that the host galaxy has a somewhat irregular
morphology, but we are unable to connect the location of GRB 980703 with any
special features in the host. The host galaxy appears to be a typical example
of a compact star forming galaxy similar to those found in the Hubble Deep
Field North. The R-band light curve of the optical afterglow associated with
this gamma-ray burst is consistent with a single power-law decay having a slope
of alpha = -1.37 +/- 0.14. Due to the bright underlying host galaxy the late
time properties of the light-curve are very poorly constrained. The decay of
the optical light curve is consistent with a contribution from an underlying
Type Ic supernova like SN1998bw, or a dust echo, but such contributions cannot
be securely established.
","[{""version"":""v1"",""created"":""Sat, 3 Mar 2001 17:59:03 GMT""}]","2007-05-23"
"astro-ph/0103059","Elena Terlevich","Itziar Aretxaga (1), Elena Terlevich (1), Roberto Terlevich (2),
  Garret Cotter (3), Angeles Diaz (4) ((1) INAOE Puebla Mexico, (2) IoA
  Cambridge UK, (3) Cavendish Laboratory Cambridge UK, (4) UAM Madrid Spain)","Stellar populations in the nuclear regions of nearby radiogalaxies","14 pages, 16 figures, accepted by MNRAS","Mon.Not.Roy.Astron.Soc. 325 (2001) 636","10.1046/j.1365-8711.2001.04463.x",,"astro-ph",,"  We present optical spectra of the nuclei of seven luminous (P(178MHz) >
10**25 W Hz**(-1) Sr**(-1)) nearby (z<0.08) radiogalaxies, which mostly
correspond to the FR II class. In two cases, Hydra A and 3C 285, the Balmer and
4000A break indices constrain the spectral types and luminosity classes of the
stars involved, revealing that the blue spectra are dominated by blue
supergiant and/or giant stars. The ages derived for the last burst of star
formation in Hydra A are between 7 and 40 Myr, and in 3C 285 about 10 Myr. The
rest of the narrow-line radiogalaxies (four) have 4000A break and metallic
indices consistent with those of elliptical galaxies. The only broad-line
radiogalaxy in our sample, 3C 382, has a strong featureless blue continuum and
broad emission lines that dilute the underlying blue stellar spectra. We are
able to detect the Ca II triplet in absorption in the seven objects, with good
quality data for only four of them. The strengths of the absorptions are
similar to those found in normal elliptical galaxies, but these values are both
consistent with single stellar populations of ages as derived from the Balmer
absorption and break strengths, and, also, with mixed young+old populations.
","[{""version"":""v1"",""created"":""Sun, 4 Mar 2001 00:27:26 GMT""}]","2009-11-06"
"cond-mat/0103083","Vladimir Stephanovich","M.D. Glinchuk, E.A. Eliseev, V.A.Stephanovich","Size effects of pyroelectric coefficient and dielectric susceptibility
  in ferroelectric thin films","14 pages, 11 figures",,,,"cond-mat.mtrl-sci",,"  We calculate the pyrocoefficient, static dielectric susceptibility profiles
and its thickness dependence of ferroelectric thin films. Also, the temperature
dependences of above quantities have been calculated. For the calculations we
use Landau phenomenological theory, leading to Lame equations. These equations
subject to boundary conditions with different extrapolation length on the
surfaces have been solved numerically. The divergency of pyroelectric
coefficient and static dielectric susceptibility in the vicinity of thickness
induced ferroelectric phase transition (i.e. at $l\approx l_c$ or $% T\approx
T_{cl}$) has been shown to be the most prominent size effect in ferroelectric
thin films.
","[{""version"":""v1"",""created"":""Sat, 3 Mar 2001 20:48:48 GMT""}]","2007-05-23"
"cond-mat/0103084","Darren E. Segall","D.E. Segall (1), T.A. Arias (2), Alejandro Strachan (3), William A.
  Goddard III (3) ((1) MIT, (2) Cornell University, (3) California Institute of
  Technology)","Accurate Calculations of the Peierls Stress in Small Periodic Cells","17 pages, 9 figures","Journal of Computer-Aided Material Design, Vol. 8 (2001) pp.
  161-172","10.1023/A:1020001527113",,"cond-mat.mtrl-sci",,"  The Peierls stress for a [111]-screw dislocation in bcc Tantalum is
calculated using an embedded atom potential. More importantly, a method is
presented which allows accurate calculations of the Peierls stress in the
smallest periodic cells. This method can be easily applied to ab initio
calculations, where only the smallest unit cells capable of containing a
dislocation can be conviently used. The calculation specifically focuses on the
case where the maximum resolved shear stress is along a {110}-plane.
","[{""version"":""v1"",""created"":""Sat, 3 Mar 2001 21:53:46 GMT""}]","2016-08-31"
"cond-mat/0103085","Maxim Olshanii","Vanja Dunjko (1), Vincent Lorent (2), and Maxim Olshanii (1,2) ((1)
  Department of Physics & Astronomy, University of Southern California, USA,
  (2) Laboratoire de Physique des Lasers - Institut Galil'ee, Universit'e
  Paris-Nord, France)","Bosons in cigar-shape traps: Thomas-Fermi regime, Tonks-Girardeau
  regime, and between","4 pages, 4 figures","Phys. Rev. Lett., 86, 5413 (2001)","10.1103/PhysRevLett.86.5413",,"cond-mat quant-ph",,"  We present a quantitative analysis of the experimental accessibility of the
Tonks-Girardeau gas in the current day experiments with cigar-trapped alkalis.
For this purpose we derive, using a Bethe anzats generated local equation of
state, a set of hydrostatic equations describing one-dimensional
delta-interacting Bose gases trapped in a harmonic potential. The resulting
solutions cover the_entire range_ of atomic densities.
","[{""version"":""v1"",""created"":""Sun, 4 Mar 2001 08:00:15 GMT""}]","2009-11-07"
"cond-mat/0103086","Jun'ichi Wakou","J. Wakou, R. Brito, M. H. Ernst","Towards a Landau-Ginzburg-type Theory for Granular Fluids","19 pages, LaTeX, 8 figures",,,,"cond-mat.stat-mech",,"  In this paper we show how, under certain restrictions, the hydrodynamic
equations for the freely evolving granular fluid fit within the framework of
the time dependent Landau-Ginzburg (LG) models for critical and unstable fluids
(e.g. spinodal decomposition). The granular fluid, which is usually modeled as
a fluid of inelastic hard spheres (IHS), exhibits two instabilities: the
spontaneous formation of vortices and of high density clusters. We suppress the
clustering instability by imposing constraints on the system sizes, in order to
illustrate how LG-equations can be derived for the order parameter, being the
rate of deformation or shear rate tensor, which controls the formation of
vortex patterns. From the shape of the energy functional we obtain the
stationary patterns in the flow field. Quantitative predictions of this theory
for the stationary states agree well with molecular dynamics simulations of a
fluid of inelastic hard disks.
","[{""version"":""v1"",""created"":""Sun, 4 Mar 2001 14:25:07 GMT""}]","2007-05-23"
"cond-mat/0103087","Pudalov V. M.","V. M. Pudalov, G. Brunthaler, A. Prinz, G. Bauer","Effect of the In-Plane Magnetic Field on Conduction of the Si-inversion
  Layer: Magnetic Field Driven Disorder","11 pages, 10 figures, new data added",,,,"cond-mat.str-el cond-mat.mes-hall",,"  We compare the effects of temperature, disorder and parallel magnetic field
on the metallic-like temperature dependence of the resistivity. We found a
similarity between the effects of disorder and parallel field: the parallel
field weakens the metallic-like conduction in high mobility samples and make it
similar to that for low-mobility samples. We found a smooth continuous effect
of the in-plane field on conduction, without any threshold. While conduction
remains non-activated, the parallel magnetic field restores the same
resistivity value as the high temperature does. This matching sets substantial
constraints on the choice of the theoretical models developed to explain the
mechanism of the metallic conduction and parallel field magnetoresistance in 2D
carrier systems. We demonstrate that the data for magneto- and temperature
dependence of the resistivity of Si-MOS samples in parallel field may be well
described by a simple model of the magnetic field dependent disorder.
","[{""version"":""v1"",""created"":""Sun, 4 Mar 2001 12:57:58 GMT""},{""version"":""v2"",""created"":""Thu, 3 May 2001 23:44:47 GMT""}]","2007-05-23"
"cond-mat/0103088","A. Kornilov","A. V. Kornilov, V. M. Pudalov, Y. Kitaoka, K. Ishida, T. Mito, J. S.
  Brooks, J. S. Qualls, J. A. A. J. Perenboom, N. Tateiwa, T. C. Kobayashi","Novel Phases in the Field Induced Spin Density Wave State in
  (TMTSF)_2PF_6","LaTex, 4 pages, 4 figures","Phys. Rev. B v65, 060404 (2002)","10.1103/PhysRevB.65.060404",,"cond-mat.str-el cond-mat.mes-hall",,"  Magnetoresistance measurements on the quasi one-dimensional organic conductor
(TMTSF)_2PF_6 performed in magnetic fields B up to 16T, temperatures T down to
0.12K and under pressures P up to 14kbar have revealed new phases on its P-B-T
phase diagram. We found a new boundary which subdivides the field induced spin
density wave (FISDW) phase diagram into two regions. We showed that a
low-temperature region of the FISDW diagram is characterized by a hysteresis
behavior typical for the first order transitions, as observed in a number of
studies. In contrast to the common believe, in high temperature region of the
FISDW phase diagram, the hysteresis and, hence, the first order transitions
were found to disappear. Nevertheless, sharp changes in the resistivity slope
are observed both in the low and high temperature domains indicating that the
cascade of transitions between different subphases exists over all range of the
FISDW state. We also found that the temperature dependence of the resistance
(at a constant B) changes sign at about the same boundary. We compare these
results with recent theoretical models.
","[{""version"":""v1"",""created"":""Sun, 4 Mar 2001 15:21:30 GMT""}]","2009-11-07"
