"astro-ph/0104162","Alessandro Melchiorri","Rachel Bean, Steen H. Hansen, Alessandro Melchiorri","Early-universe constraints on a Primordial Scaling Field","5 pages, 4 figures. The revised version includes the new Boomerang
  and DASI data","Phys.Rev.D64:103508,2001","10.1103/PhysRevD.64.103508",,"astro-ph hep-ph",,"  In the past years 'quintessence' models have been considered which can
produce the accelerated expansion in the universe suggested by recent
astronomical observations. One of the key differences between quintessence and
a cosmological constant is that the energy density in quintessence,
$\Omega_\phi$, could be a significant fraction of the overall energy even in
the early universe, while the cosmological constant will be dynamically
relevant only at late times. We use standard Big Bang Nucleosynthesis and the
observed abundances of primordial nuclides to put constraints on $\Omega_\phi$
at temperatures near $T \sim 1MeV$. We point out that current experimental data
does not support the presence of such a field, providing the strong constraint
$\Omega_\phi(MeV) < 0.045$ at $2\sigma$ C.L. and strengthening previous
results. We also consider the effect a scaling field has on CMB anisotropies
using the recent data from Boomerang and DASI, providing the CMB constraint
$\Omega_\phi \le 0.39$ at $2\sigma$ during the radiation dominated epoch.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:56:53 GMT""},{""version"":""v2"",""created"":""Mon, 28 May 2001 08:12:50 GMT""}]","2014-10-13"
"astro-ph/0104176","Michal Jaroszynski","Michal Jaroszynski (Warsaw) and Shude Mao (Jodrell Bank)","Predicting the Second Caustic Crossing in Binary Microlensing Events","14 pages + 3 EPS figures, accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 325 (2001) 1546","10.1046/j.1365-8711.2001.04584.x",,"astro-ph",,"  We fit binary lens models to the data covering the initial part of real
microlensing events in an attempt to predict the time of the second caustic
crossing. We use approximations during the initial search through the parameter
space for light curves that roughly match the observed ones. Exact methods for
calculating the lens magnification of an extended source are used when we
refine our best initial models. Our calculations show that the reliable
prediction of the second crossing can only be made very late, when the light
curve has risen appreciably after the minimum between the two
caustic-crossings. The best observational strategy is therefore to sample as
frequently as possible once the light curve starts to rise after the minimum.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 16:31:25 GMT""}]","2017-02-08"
"astro-ph/0104177","Tommaso Treu","T. Treu (1,2,4), M. Stiavelli (2), P. M{\o}ller (3), S. Casertano (2),
  and G. Bertin (1) (Scuola Normale Superiore (1), Space Telescope Science
  Institute (2), European Southern Observatory (3), California Insitute of
  Technology (4))","The properties of field elliptical galaxies at intermediate redshift.
  II: photometry and spectroscopy of an HST selected sample","19 pages, 16 figures, MNRAS accepted","Mon.Not.Roy.Astron.Soc. 326 (2001) 221","10.1046/j.1365-8711.2001.04593.x",,"astro-ph",,"  A sample of field early-type galaxies (E/S0) at intermediate redshift
($z\sim0.1-0.6$) is selected, based on morphology and colours from HST-WFPC2
parallel images. Photometric structural parameters (effective radius
$R_{\tx{e}}$ and effective surface brightness $SB_{\tx{e}}$) are derived
through the F606W and F814W filters, using luminosity profile fitting and
two-dimensional fitting techniques. The combined parameter that enters the
Fundamental Plane ($\log R_{\tx{e}}-\beta SB_{\tx{e}}$, with
$\beta\approx0.32$) is shown to suffer from significantly smaller uncertainties
(r.m.s. 0.03) than the individual structural parameters (e.g. $\sim 15$ per
cent r.m.s. on the effective radius).
  High signal-to-noise intermediate resolution spectra, taken at the ESO-3.6m,
yield redshifts for 35 galaxies and central velocity dispersions for 22
galaxies. Central velocity dispersions are derived using a library of stellar
templates covering a wide range of spectral types, in order to study the
effects of templates mismatches. The average random error on the central
velocity dispersion is found to be 8 per cent and the average systematic error
due to template mismatch is found to be 5 per cent. The errors on velocity
dispersion measurement and the effects of template mismatches are studied by
means of extensive Montecarlo simulations. In addition, we investigate whether
the determination of the velocity dispersion is sensitive to the spectral range
used, finding that the value of velocity dispersion is unchanged when the
spectral regions that include the absorption features Ca HK and NaD are masked
out during the fit.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 16:33:56 GMT""}]","2009-11-06"
"astro-ph/0104178","Hans Bruntt","H. Bruntt, S. Frandsen, R. L. Gilliland, J. Christensen-Dalsgaard, J.
  O. Petersen, P. Guhathakurta, P. D. Edmonds and G. Bono","SX Phoenicis Stars in the Core of 47 Tucanae","13 pages, 12 figures, accepted for publication in A&A (2001)",,"10.1051/0004-6361:20010369",,"astro-ph",,"  We present new results on five of six known SX Phoenicis stars in the core of
the globular cluster 47 Tucanae. We give interpretations of the light curves in
the V and I bands from 8.3 days of observations with the Hubble Space Telescope
near the core of 47 Tuc. The most evolved SX Phe star in the cluster is a
double-mode pulsator (V2) and we determine its mass to be 1.54+/-0.05 solar
masses from its position in the Hertzsprung-Russell diagram and by comparing
observed periods with current theoretical pulsation models. For V14 we do not
detect any pulsation signal. For the double-mode pulsators V3, V15, and V16 we
cannot give a safe identification of the modes. We also describe the
photometric techniques we have used to extract the light curves of stars in the
crowded core. Some of the SX Phoenicis are saturated and we demonstrate that
even for stars that show signs of a bleeding signal we can obtain a
point-to-point accuracy of 1-3%.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 16:37:09 GMT""}]","2009-11-06"
"astro-ph/0104179","Stefan C. Keller","Stefan C. Keller, Eva K. Grebel, Grant Miller and Kenneth Yoss","UBVI and Ha Photometry of the h & chi Persei cluster","20 pages, 9 figures, AJ July",,"10.1086/321139",,"astro-ph",,"  UBVI and Ha photometry is presented for 17319 stars in vicinity of the young
double cluster h & chi Persei. Our photometry extends over a 37arcmin x 1arcdeg
field centered on the association. We construct reddening contours within the
imaged field. We find that the two clusters share a common distance modulus of
11.75$\pm$0.05 and ages of log age(yr) = 7.1$\pm$0.1. From the V-Ha colour, a
measure of the Ha emission strength, we conduct a survey for emission line
objects within the association. We detect a sample of 33 Be stars, 8 of which
are new detections. We present a scenario of evolutionary enhancement of the Be
phenomenon to account for the peak in Be fraction towards the top of the
main-sequence in the population of h & chi Persei and similar young clusters.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 17:02:43 GMT""},{""version"":""v2"",""created"":""Wed, 2 May 2001 16:48:58 GMT""}]","2009-11-06"
"astro-ph/0104180","Matthias Dietrich","Matthias Dietrich and Fred Hamann","High Redshift Quasars and Star Formation History","Proc. Conf. Astrophysical Ages and Time Scales",,,,"astro-ph",,"  Quasars are among the most luminous objects in the universe, and they can be
studied in detail up to the highest known redshift. Assuming that the gas
associated with quasars is closely related to the interstellar medium of the
host galaxy, quasars can be used as tracer of the star formation history in the
early universe. We have observed a small sample of quasars at redshifts 3<z<5
and present results using NV/CIV and NV/HeII as well as MgII/FeII to estimate
the date of the first major star formation epoch. These line ratios indicate
solar and supersolar metallicities of the gas close to the quasars. Assuming
times of tau_{evol} = 1 Gyr the first star formation epoch can be dated to z_f
>= 10, corresponding to an age of the universe of less than 5*10^8 yrs (H_o =
65 km/s/Mpc, Omega_M = 0.3, Omega_Lambda = 0.7).
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 19:21:42 GMT""}]","2007-05-23"
"astro-ph/0104181","Marcelo B. Ribeiro","Marcelo B. Ribeiro (University of Brazil - UFRJ)","The Apparent Fractal Conjecture: Scaling Features in Standard
  Cosmologies","30 pages, 2 figures, LaTeX. This paper is a follow-up to
  gr-qc/9909093. Accepted for publication in ""General Relativity and
  Gravitation""","Gen.Rel.Grav. 33 (2001) 1699-1730","10.1023/A:1013095316494",,"astro-ph gr-qc",,"  This paper presents an analysis of the smoothness problem in cosmology by
focussing on the ambiguities originated in the simplifying hypotheses aimed at
observationally verifying if the large-scale distribution of galaxies is
homogeneous, and conjecturing that this distribution should follow a fractal
pattern in perturbed standard cosmologies. This is due to a geometrical effect,
appearing when certain types of average densities are calculated along the past
light cone. The paper starts reviewing the argument concerning the possibility
that the galaxy distribution follows such a scaling pattern, and the premises
behind the assumption that the spatial homogeneity of standard cosmology can be
observable. Next, it is argued that to discuss observable homogeneity one needs
to make a clear distinction between local and average relativistic densities,
and showing how the different distance definitions strongly affect them,
leading the various average densities to display asymptotically opposite
behaviours. Then the paper revisits Ribeiro's (1995: astro-ph/9910145) results,
showing that in a fully relativistic treatment some observational average
densities of the flat Friedmann model are not well defined at z ~ 0.1, implying
that at this range average densities behave in a fundamentally different manner
as compared to the linearity of the Hubble law, well valid for z < 1. This
conclusion brings into question the widespread assumption that relativistic
corrections can always be neglected at low z. It is also shown how some key
features of fractal cosmologies can be found in the Friedmann models. In view
of those findings, it is suggested that the so-called contradiction between the
cosmological principle, and the galaxy distribution forming an unlimited
fractal structure, may not exist.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:03:39 GMT""}]","2015-06-24"
"astro-ph/0104182","Bohdan Paczynski","Bohdan Paczynski","The Distance to the Magellanic Clouds","13 pages with 6 figures and 2 tables, latex, minor revision,
  published in Acta Astronomica, 51, 81-89 (2001)",,,,"astro-ph",,"  The distance to LMC and SMC is a subject of controversy, with the difference
between the extreme values in distance moduli exceeding 0.5 mag. While
currently the best calibrated method is based on red clump giants, and the near
future improvement is most likely to come from detached eclipsing binaries, the
ultimate goal is to have a purely geometrical determination. The best prospect
will be to use relatively wide binary stars, for which spectroscopic orbits
will be obtained with large ground based telescopes, and astrometric orbits
will be obtained either with SIM, or with future ground based interferometers.
A preliminary list of 25 candidate systems is presented. It is based on OGLE
catalogs of BVI photometry.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:11:56 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jul 2001 13:42:04 GMT""}]","2007-05-23"
"astro-ph/0104183","Riccardo Scarpa","Riccardo Scarpa (E.S.O.), C. Megan Urry (STScI)","On The Parent Population of Radio Galaxies and the FRI - FRII Dichotomy","Accepted for publication on ApJ. Includes 7 figures, 16 pages in
  total",,"10.1086/321606",,"astro-ph",,"  We test the hypothesis that radio galaxies are a random subset of otherwise
normal elliptical galaxies. Starting with the observed optical luminosity
functions for elliptical galaxies, we show that the probability of an
elliptical forming a radio source is a continuous, increasing function of
optical luminosity, proportional to L squared. With this probability function
and the luminosity function of normal elliptical galaxies as input to Monte
Carlo simulations, we reproduce the observed distribution of radio galaxies in
the radio-optical luminosity plane. Our results show that radio galaxies are a
luminosity-biased but otherwise random sample of elliptical galaxies. This
unified view of radio-loud and radio-quiet ellipticals also explains the well
known difference of ~0.5 mag in average optical luminosity between FRI and FRII
radio galaxies as a simple selection effect. Specifically, FRII appear
preferentially in smaller galaxies because both radio and optical luminosity
functions are steep, so there is a negligible probability of observing a
powerful radio source associated with a bright galaxy; no intrinsic physical
differences between FRI and FRII host galaxies are required.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:14:17 GMT""}]","2016-08-30"
"astro-ph/0104184","Jorge Melendez-Moreno","Jorge Melendez, Beatriz Barbuy, Francois Spite","Oxygen Abundances in Metal-Poor Stars (-2.2 < [Fe/H] < -1.2) from
  Infrared OH lines","Astrophysical Journal, in press (scheduled for the v556 n2 Aug 1,
  2001 issue)","Astrophys.J.556:858-871,2001","10.1086/321624",,"astro-ph",,"  Infrared OH lines at 1.55 - 1.56 um in the H-band were obtained with the
Phoenix high-resolution spectrograph at the 2.1m telescope of the Kitt Peak
National Observatory for a sample of 14 metal-poor stars. Detailed analyses of
the sample stars have been carried out, deriving stellar parameters based on
two methods: (a) spectroscopic parameters; (b) IRFM effective temperatures,
trigonometric gravities and metallicities from Fe II lines. The Fe I lines
present in the H-band region observed showed to be well fitted by the stellar
parameters within $\Delta$[Fe/H] < 0.15 dex. The oxygen abundances were derived
from fits of spectrum synthesis calculations to the infrared OH lines. CO lines
in the H- and K-bands were obtained for a subsample in order to determine their
carbon abundances. Adopting the spectroscopic parameters a mean oxygen-to-iron
ratio of [O/Fe] ~ +0.52 is obtained, whereas using the IRFM temperatures,
Hipparcos gravities and [FeII/H], [O/Fe] ~ +0.25 is found. A mean of the two
methods gives a final value of [O/Fe] ~ +0.4 for the metallicity range -2.2 <
[Fe/H] < -1.2 of the sample metal-poor stars.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:24:44 GMT""}]","2011-02-11"
"astro-ph/0104185","Peter A. Milne","Peter A. Milne, Lih-Sin The, Mark D. Leising","Late Light Curves of Type Ia Supernovae","ApJ submitted",,"10.1086/322352",,"astro-ph",,"  We extend earlier efforts to determine whether the late (t$\geq$60d)
light-curves of type Ia SNe are better explained by the escape of positrons
from the ejecta or by the complete deposition of positron kinetic energy in a
trapping magnetic field We find that applying a filter efficiency correction,
derived from measured spectra, to B, V, R, and I light-curves after day 50 can
produce a consistent bolometric light-curve. The V band is an accurate
indicator of total emission in the 3500$\AA$ - 9700$\AA$ range, with a constant
fraction ($\sim$25%) appearing in the V band after day 50. This suggests that
the V band scales with the bolometric luminosity, and that the deposited energy
is instantaneously recycled into optical emission during this epoch. Varying
bolometric corrections for the other bands are derived. We see significant
evolution of the colors of SNe Ia between day 50 and day 170. We suggest that
this may be due to the transition from spectra dominated by emission lines from
the radioactive nucleus, $^{56}$Co, to those from the stable daughter nucleus,
$^{56}$Fe. We show that the B, V, R, and I band light-curves of SNe Ia after
t$\geq$60d can be completely explained with energy deposition from $^{56}$Co
decay photons and positrons if substantial positron escape occurs.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 20:30:11 GMT""}]","2009-11-06"
"astro-ph/0104186","Roberto Cid Fernandes","R. Cid Fernandes (JHU & UFSC), T. Heckman (JHU), H. Schmitt (STScI &
  NOAO), R. Gonzalez Delgado (IAA), T. Storchi-Bergmann (UFRGS)","Empirical diagnostics of the starburst-AGN connection","ApJ in press - 67(!) pages (including 15 figures)",,"10.1086/322449",,"astro-ph",,"  We examine a representative sample of 35 Seyfert 2 nuclei. Previous work has
shown that nearly 1/2 of these nuclei show the direct (but difficult-to-detect)
spectroscopic signatures at optical-UV wavelengths of the hot massive stars
that power circum-nuclear starbursts. In this paper we examine a variety of
more-easily-measured quantities for this sample, such as the equivalent widths
of strong absorption features, continuum colors, emission line equivalent
widths, ratios and profiles, far-IR luminosities and near-UV surface
brightness. We compare the composite starburst+Seyfert 2 nuclei to ``pure''
Seyfert 2's, Starburst galaxies and normal galactic nuclei. Our goals are to
verify whether these properties in composite nuclei are consistent with the
expected impact of a starburst, and to investigate alternative less-demanding
methods to infer the presence of starbursts in Seyfert 2's, applicable to
larger or more distant samples. We show that starbursts do indeed leave clear
and easily quantifiable imprints on the near-UV to optical continuum range.
Composite starburst+Seyfert 2 systems can be recognized by: (1) a strong
``Featureless Continuum'' which dilutes the CaII K line from the host's bulge
to W_K < 10 A; (2) emission lines whose equivalent widths are intermediate
between Starburst galaxies and ``pure'' Seyfert 2's; (3) relatively low
excitation line-ratios, which indicate that part of the gas ionization in these
Seyfert 2's (typically \sim 50% of Hbeta) is due to photoionization by OB
stars; (4) large far IR luminosities (> 10^10 Lsun); (5) High near-UV surface
brightness (~10^3 Lsun/pc^2). These characteristics are all consistent with the
expected impact of circum-nuclear starbursts on the observed properties of
Seyfert 2's. (abridged)
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 21:00:07 GMT""}]","2009-11-06"
"astro-ph/0104187","Yong Zhong Qian","Y.-Z. Qian (UMN)","Diverse Supernova Sources for the r-Process and Abundances in Metal-Poor
  Stars","4 pages, 2 figures, to appear in ApJL (submitted February 1, 2001)","Astrophys.J. 552 (2001) L117-L120","10.1086/320338",,"astro-ph",,"  The dispersion and mean trends of r-process abundances in metal-poor stars
are discussed based on a model of diverse supernova sources for the r-process.
This model is unique in that its key parameters are inferred from solar system
data independent of stellar observations at low metallicities. It is shown that
this model provides a good explanation for the observed dispersion and mean
trend of Eu abundances over -3 < [Fe/H] < -1. It is also shown that this model
provides a means to discuss r-abundances in general. For example, the Ag
abundance in any metal-poor star with observed Eu and Fe abundances can be
calculated from the model. This approach is demonstrated with success for two
stars and can be further tested by future Ag data. The dispersion and mean
trend of Ag abundances in metal-poor stars are also calculated for comparison
with future observations.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 21:57:51 GMT""}]","2009-11-06"
"astro-ph/0104188","John R. Thorstensen","John R. Thorstensen, Robert A. Fesen and Sidney van den Bergh","The Expansion Center and Dynamical Age of the Galactic Supernova Remnant
  Cassiopeia A","Astron. Journal in press, sched. July 2001. AASTex5, 17 pages, 2 jpeg
  greyscale figures, 3 postscript figures",,"10.1086/321138",,"astro-ph",,"  We present proper motions for 21 bright main shell and 17 faint,
higher-velocity, outer ejecta knots in the Cas A supernova remnant and use them
to derive new estimates for the remnant's expansion center and age. Our study
included 1951 - 1976 Palomar 5 m prime focus plates, 1988 - 1999 CCD images
from the KPNO 4 m and MDM 2.4 m telescopes, and 1999 HST WFPC2 images.
Measurable positions covered a 23 to 41 yr time span for most knots, with a few
outer knots followed for almost 48 yr. We derive an expansion center of alpha =
23h 23m 27s.77 +- 0s.05, delta = 58d 48' 49"".4 +- 0"".4 (ICRS), with little
difference between centers derived using outer or main shell knots. This
position is 3.0 arcsec due north of that estimated by van den Bergh and Kamper
(1983). It also lies 6.6 +- 1.5 arcsec almost due north (PA = 354 deg) of the
remnant's recently-detected central X-ray point source, implying a transverse
velocity for the X-ray point source of about 330 km/s at a distance of 3.4 kpc.
Using the knots which lie out ahead of the remnant's forward blast wave, we
estimate a knot convergent date of A.D. 1671.3 +- 0.9, assuming no
deceleration. However, a deceleration of just approximately 1.6 km/(s yr) over
a 300 yr time span would produce an explosion date A.D. 1680, consistent with
the suspected sighting of the Cas A supernova by J. Flamsteed.
","[{""version"":""v1"",""created"":""Tue, 10 Apr 2001 22:55:05 GMT""}]","2009-11-06"
"astro-ph/0104189","Rosalba Perna","Andrea Ferrara (Arcetri) and Rosalba Perna (Harvard)","Scintillation as a Probe of the Intergalactic Medium","9 pages, 3 figures, accepted to MNRAS","Mon.Not.Roy.Astron.Soc. 325 (2001) 1643","10.1046/j.1365-8711.2001.04573.x",,"astro-ph",,"  Most of the baryons in the low-redshift universe reside in a warm/hot
component which is difficult to detect with standard absorption/emission line
techniques. We propose to use quasar refractive scintillation as an useful,
complementary probe of such ionized, intergalactic gas. In particular, an
application to the case of the intracluster medium is presented. We show that
clusters located at z approx 0.02 should produce a source rms intensity
fluctuation at 50-100 GHz of several tens of percent and on time scales ranging
from days to months, depending on the projected location of the source on the
foreground cluster. However, in order to produce such a signal, the source
needs to be very compact. This effect, if observed, can be used as an
independent test of the baryonic mass fraction in clusters.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 00:09:03 GMT""}]","2009-11-06"
"astro-ph/0104190","Kensuke Imanishi","Kensuke Imanishi (1), Katsuji Koyama (1), and Yohko Tsuboi (2) ((1)
  Kyoto University, (2) Pennsylvania State University)","Chandra Observation of the Rho Oph Cloud","16 pages, 14 figures, 4 tables, accepted for publication in ApJ. High
  resolution image of figure 1 is available at
  ftp://ftp-cr.scphys.kyoto-u.ac.jp/pub/crmember/kensuke/Chandra/RhoOph/Paper1/
  figure1.eps","Astrophys.J. 579 (2002) 920","10.1086/342987",,"astro-ph",,"  We observed a 17$'\times17'$ region of the $\rho$ Oph molecular cloud, using
the ACIS-I array onboard the {\it Chandra X-ray Observatory} (CXO). A 100-ks
exposure observation revealed $\sim$ hundred X-ray sources above the detection
limit of $\sim$ 10$^{28}$ ergs s$^{-1}$. About 2/3 of the X-ray sources are
identified to an optical and/or infrared counterpart, including significant
numbers of class I, II and III sources and a few brown dwarfs. The X-ray
detection rate of class I sources is surprisingly high of 70 %. Many X-ray
flares, possibly due to the magnetic activity, are found from all of the
classes. We make systematic spectral studies on the quiescent and flare X-rays
for all the X-ray sources. The X-ray temperatures and absorptions of class I
sources are generally larger than those of class II and III sources. Also X-ray
flares from class I sources show a hint of higher duty ratio, temperature and
luminosity, than those from more evolved classes. We further give brief results
on brown dwarfs, younger phase than class I, unclassified and unidentified
sources. Details for several selected young stellar objects, including the
first detection of a neutral iron line (6.4 keV) from a class I source YLW 16A,
are separately addressed.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 06:25:40 GMT""},{""version"":""v2"",""created"":""Sat, 14 Apr 2001 01:45:06 GMT""},{""version"":""v3"",""created"":""Mon, 7 May 2001 00:29:24 GMT""}]","2009-11-06"
"astro-ph/0104191","Alan Stockton","Alan Stockton","The Oldest Stellar Populations at z ~ 1.5","8 pages, including 6 figures, to be published in Astrophysical Ages
  and Time Scales as an ASP Conference Series volume",,,,"astro-ph",,"  There are at least three reasons for being interested in galaxies at high
redshifts that formed most of their stars quite quickly early in the history of
the Universe: (1) the ages of their stellar populations can potentially place
interesting constraints on cosmological parameters and on the epoch of the
earliest major episodes of star formation, (2) their morphologies may provide
important clues to the history and mechanisms of spheroid formation, and (3)
they are likely to identify the regions of highest overdensity at a given
redshift.
  We describe a systematic search for galaxies at z ~ 1.5 having essentially
pure old stellar populations, with little or no recent star formation. Our
approach is to apply a ""photometric sieve"" to the fields of quasars near this
redshift, looking for companion objects with the expected spectral-energy
distributions. Follow-up observations on two of the fields having candidates
discovered by this technique are described.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 07:50:34 GMT""}]","2007-05-23"
"astro-ph/0104192","Gabriel Chardin","A. Juillard, A. Benoit, L. Berge, A. Bonnevaux, R. Bouvier, A.
  Broniatowski, B. Chambon, M. Chapellier, G. Chardin, P. Charvin, P. Cluzel,
  M. De Jesus, P. Di Stefano, D. Drain, L. Dumoulin, J. Gascon, G. Gerbier, C.
  Goldbach, M. Goyot, M. Gros, J.P. Hadjout, A. De Lesquen, M. Loidl, D.
  Loiseau, J. Mallet, S. Marnieros, O. Martineau, N. Mirabolfathi, L. Mosca,
  X-F. Navick, G. Nollez, P. Pari, C. Pastor, E. Simon, M. Stern, L. Vagneron","Dark Matter Search in the EDELWEISS experiment","4 pages, LaTeX, 3 figures, contribution to "" Very High Energy
  Phenomena in the Universe "", Les Arcs, France (January 20-27, 2001)","Nucl.Phys.Proc.Suppl. 110 (2002) 70-72",,"DAPNIA/SPP-01-03","astro-ph",,"  The EDELWEISS Dark Matter Search uses low-temperature Ge detectors with heat
and ionisation read-out to identify nuclear recoils induced by elastic
collisions with WIMPs from the galactic halo. Preliminary results obtained with
320g bolometers are described. After a few weeks of data taking, data
accumulated with one of these detectors already allow to reach the upper part
of the DAMA region. Prospects for the present run and the second stage of the
experiment, EDELWEISS-II, using an innovative reversed cryostat allowing data
taking with 100 detectors, are briefly described.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 07:57:39 GMT""}]","2019-08-17"
"astro-ph/0104193","Nazar Ikhsanov","N.R. Ikhsanov, V.M. Larionov and N.G. Beskrovnaya","On the accretion flow geometry in A0535+26","6 pages, published in A&A 372, 227 (2001)","2001, A&A 372, 227","10.1051/0004-6361:20010481",,"astro-ph",,"  The geometry of accretion flow in the Be/X-ray transient A0535+26 is
explored. It is shown that neither moderate nor giant X-ray flaring events
observed in the system can be interpreted within the spherically symmetrical
accretion model and hence the formation of an accretion disk around the neutron
star magnetosphere during the both types of flares is required. The accretion
disk can be formed at the periastron if (i) the expansion velocity of the Be
star envelope in the equatorial plane is V_wr < 150 km/s and (ii) the parameter
accounting for the accretion flow inhomogeneities, xi, satisfies the following
condition: xi > 0.16 (Mdot_17)^-1/7, where (Mdot_17)^-1/7 is the rate of mass
capture by the neutron star expressed in units of 1017 g/s. We suggest that the
`missing' outburst phenomenon can be associated with the spherically
symmetrical accretion onto the interchange-stable magnetosphere of the neutron
star. The average spin up rate of the neutron star during moderate flares < 3.5
x 10^-12 Hz/s is predicted.
","[{""version"":""v1"",""created"":""Wed, 11 Apr 2001 08:41:04 GMT""},{""version"":""v2"",""created"":""Sun, 25 Nov 2001 13:33:10 GMT""}]","2009-11-06"
