"astro-ph/0109137","Pablo Rodriguez-Gil","P. Rodriguez-Gil (1), I. G. Martinez-Pais (1,2), J. Casares (1), M.
  Villada (3) and L. van Zyl (4) ((1) IAC, Spain, (2) Universidad de La Laguna,
  Spain, (3) Observatorio Astronomico de Cordoba, Argentina, (4) Department of
  Astrophysics, Oxford, UK)","V348 Puppis: a new SW Sex star in the period gap","6 pages, 10 figures, accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 328 (2001) 903","10.1046/j.1365-8711.2001.04965.x",,"astro-ph",,"  We present time-resolved optical spectroscopy and photometry of the nova-like
cataclysmic variable V348 Puppis. The system displays the same spectroscopic
behaviour as SW Sex stars, so we classify V348 Pup as a new member of the
class. V348 Pup is the second SW Sex system (the first is V795 Herculis) which
lies in the period gap. The spectra exhibit enhanced HeII 4686 emission,
reminiscent of magnetic cataclysmic variables. The study of this emission line
gives a primary velocity semi-amplitude of K1 ~= 100 km/s. We have also derived
the system parameters, obtaining: M1 ~= 0.65 Msun, M2 ~= 0.20 Msun (q ~= 0.31),
i ~= 80 deg and K2 ~= 323 km/s. The spectroscopic behaviour of V348 Pup is very
similar to that of V795 Her, with the exception that V348 Pup shows deep
eclipses. We have computed the ``0.5-absorption'' spectrum of both systems,
obtaining spectra which resemble the absorption spectrum of a B0 V star. We
propose that absorption in SW Sex systems can be produced by a vertically
extended atmosphere which forms where the gas stream re-impacts the system,
either at the accretion disc or at the white dwarf's magnetosphere (assuming a
magnetic scenario).
","[{""version"":""v1"",""created"":""Sun, 9 Sep 2001 02:37:09 GMT""}]","2009-11-07"
"astro-ph/0109138","Dave Sanders","D. B. Sanders","Ultraluminous Infrared Galaxies and the Origin of QSOs","LaTex, 11 pages with 7 embedded postscript figures, Review presented
  at the Workshop on ""QSO Hosts and Their Environments"", Granada, Spain, 10-12
  January, 2001",,,,"astro-ph",,"  We review the evidence which suggests that ultraluminous infrared galaxies
(ULIGs) are the precursors of optically selected quasi-stellar objects (QSOs)
and discuss additional data that suggests that the majority, if not all QSOs,
may begin their lives in an intense infrared phase. Implications for the host
galaxies of QSOs are discussed.
","[{""version"":""v1"",""created"":""Sun, 9 Sep 2001 05:49:10 GMT""}]","2007-05-23"
"cond-mat/0109152","Juan Carlos Cuevas","J.C. Cuevas, J. Heurich, A. Martin-Rodero, A. Levy Yeyati and G.
  Schoen","Subharmonic Shapiro steps and assisted tunneling in superconducting
  point contacts","Revtex, 4 pages, 4 figures","Phys. Rev. Lett. 88, 157001 (2002)","10.1103/PhysRevLett.88.157001",,"cond-mat.supr-con cond-mat.mes-hall",,"  We analyze the current in a superconducting point contact of arbitrary
transmission in the presence of a microwave radiation. The interplay between
the ac Josephson current and the microwave signal gives rise to Shapiro steps
at voltages V = (m/n) \hbar \omega_r/2e, where n,m are integer numbers and
\omega_r is the radiation frequency. The subharmonic steps (n different from 1)
are a consequence of the ocurrence of multiple Andreev reflections (MAR) and
provide an unambiguous signature of the peculiar ac Josephson effect at high
transmission. Moreover, the dc current exhibits a rich subgap structure due to
photon-assisted MARs.
","[{""version"":""v1"",""created"":""Sat, 8 Sep 2001 16:13:20 GMT""}]","2009-11-07"
"cond-mat/0109153","Luca Salasnic","V.R. Manfredi (INFN and Univ. Padova) and L. Salasnich (INFM and Univ.
  Milano)","Pathological Behavior in the Spectral Statistics of the Asymmetric Rotor
  Model","11 pages, 7 figures, to be published in Phys. Rev. E","Phys. Rev. E 64, 066201 (2001)","10.1103/PhysRevE.64.066201",,"cond-mat.stat-mech",,"  The aim of this work is to study the spectral statistics of the asymmetric
rotor model (triaxial rigid rotator). The asymmetric top is classically
integrable and, according to the Berry-Tabor theory, its spectral statistics
should be Poissonian. Surprisingly, our numerical results show that the nearest
neighbor spacing distribution $P(s)$ and the spectral rigidity $\Delta_3(L)$ do
not follow Poisson statistics. In particular, $P(s)$ shows a sharp peak at
$s=1$ while $\Delta_3(L)$ for small values of $L$ follows the Poissonian
predictions and asymptotically it shows large fluctuations around its mean
value. Finally, we analyze the information entropy, which shows a dissolution
of quantum numbers by breaking the axial symmetry of the rigid rotator.
","[{""version"":""v1"",""created"":""Sat, 8 Sep 2001 16:24:54 GMT""}]","2009-11-07"
"cond-mat/0109154","Tom Keyes","T. Keyes and J. Chowdhary","The Potential Energy Landscape and Mechanisms of Diffusion in Liquids","submitted to pre",,"10.1103/PhysRevE.65.041106",,"cond-mat.stat-mech cond-mat.soft",,"  The mechanism of diffusion in supercooled liquids is investigated from the
potential energy landscape point of view, with emphasis on the crossover from
high- to low-T dynamics. Molecular dynamics simulations with a time dependent
mapping to the associated local mininum or inherent structure (IS) are
performed on unit-density Lennard-Jones (LJ). New dynamical quantities
introduced include r2_{is}(t), the mean-square displacement (MSD) within a
basin of attraction of an IS, R2(t), the MSD of the IS itself, and g_{loc}(t)
the mean waiting time in a cooperative region. At intermediate T, r2_{is}(t)
posesses an interval of linear t-dependence allowing calculation of an
intrabasin diffusion constant D_{is}. Near T_{c} diffusion is intrabasin
dominated with D = D_{is}. Below T_{c} the local waiting time tau_{loc} exceeds
the time, tau_{pl}, needed for the system to explore the basin, indicating the
action of barriers. The distinction between motion among the IS below T_{c} and
saddle, or border dynamics above T_{c} is discussed.
","[{""version"":""v1"",""created"":""Sat, 8 Sep 2001 19:05:13 GMT""}]","2009-11-07"
"cond-mat/0109155","Vitaly N. Golovach","Vitaly N. Golovach and Daniel Loss","Kondo effect and singlet-triplet splitting in coupled quantum dots in a
  magnetic field","4 pages, 4 figures","Europhys. Lett. 62, 83 (2003)","10.1209/epl/i2003-00365-x",,"cond-mat.str-el cond-mat.mes-hall",,"  We study two tunnel-coupled quantum dots each with a spin 1/2 and attached to
leads in the Coulomb blockade regime. We study the interplay between Kondo
correlations and the singlet-triplet exchange splitting $K$ between the two
spins. We calculate the cotunneling current with elastic and inelastic
contributions and its renormalization due to Kondo correlations, away and at
the degeneracy point K=0. We show that these Kondo correlations induce
pronounced peaks in the conductance as function of magnetic field $B$,
inter-dot coupling $t_0$, and temperature. Moreover, the long-range part of the
Coulomb interaction becomes visibile due to Kondo correlations resulting in an
additional peak in the conductance vs $t_0$ with a strong $B$-field dependence.
These conductance peaks thus provide direct experimental access to $K$, and
thus to a crucial control parameter for spin-based qubits and entanglement.
","[{""version"":""v1"",""created"":""Sun, 9 Sep 2001 01:22:47 GMT""}]","2009-11-07"
"cond-mat/0109157","Avner Peleg","Massimo Conti, Baruch Meerson, Avner Peleg, Pavel V. Sasorov","Phase ordering with a global conservation law: Ostwald ripening and
  coalescence","20 pages, 7 figures, more details added",,"10.1103/PhysRevE.65.046117",,"cond-mat.stat-mech cond-mat.dis-nn nlin.PS",,"  Globally conserved phase ordering dynamics is investigated in systems with
short range correlations in the initial condition. A Ginzburg-Landau equation
with a global conservation law is employed as the phase field model. The
conditions are found under which the sharp-interface limit of this equation is
reducible to the area-preserving motion by curvature. Numerical simulations
show that, for both critical and off-critical quench, the equal time pair
correlation function exhibits dynamic scaling, and the characteristic
coarsening length obeys a power law in time with a 1/2 exponent. For the
critical quench, our results are in excellent agreement with earlier results.
For off-critical quench (Ostwald ripening) we investigate the dynamics of the
size distribution function of the minority phase domains. The simulations show
that, at large times, this distribution function has a self-similar form with
growth exponent 1/2. The scaled distribution, however, strongly differs from
the classical Wagner distribution. We attribute this difference to coalescence
of domains. A new theory of Ostwald ripening is developed that takes into
account binary coalescence events. The theoretical scaled distribution function
agrees very well with that obtained in the simulations.
","[{""version"":""v1"",""created"":""Sun, 9 Sep 2001 08:12:06 GMT""},{""version"":""v2"",""created"":""Thu, 3 Jan 2002 16:53:27 GMT""}]","2009-11-07"
"hep-ph/0109068","Matt Dobbs","E. Boos, M. Dobbs, W. Giele, I. Hinchliffe, J. Huston, V. Ilyin, J.
  Kanzaki, K. Kato, Y. Kurihara, L. Lonnblad, M. Mangano, S. Mrenna, F. Paige,
  E. Richter-Was, M. Seymour, T. Sjostrand, B. Webber, D. Zeppenfeld","Generic User Process Interface for Event Generators","Physics at TeV Colliders II Workshop, Les Houches, France, May 2001
  14 pages, 6 figures",,,,"hep-ph",,"  Generic Fortran common blocks are presented for use by High Energy Physics
event generators for the transfer of event configurations from parton level
generators to showering and hadronization event generators.
","[{""version"":""v1"",""created"":""Sun, 9 Sep 2001 01:15:58 GMT""}]","2007-05-23"
"hep-ph/0109069","Vadim Guzey","F. Bissey (Adelaide U. & Clermont-Ferrand U.), V. Guzey (Adelaide U.),
  M. Strikman (Penn State U.), A.W. Thomas (Adelaide U.)","Complete analysis of spin structure function g1 of He-3","30 pages, 6 figures, LaTeX","Phys.Rev.C65:064317,2002","10.1103/PhysRevC.65.064317","ADP-01-33/T465","hep-ph hep-ex nucl-th",,"  We present a comprehensive analysis of the nuclear effects important in DIS
on polarized He-3 over a wide range of Bjorken x, 10^{-4} \leq x \leq 0.8.
Effects relevant for the extraction of the neutron spin structure function,
g1^n, from the He-3 data are emphasized.
","[{""version"":""v1"",""created"":""Sun, 9 Sep 2001 04:03:42 GMT""}]","2010-02-17"
"hep-ph/0109070","George Grispos","A.P. Contogouris (Athens U. & McGill U.), G. Grispos (Athens U.)","Approximate calculation of corrections at NLO and NNLO","4 pages, 3 figures, presented at ""QCD 2000"", Montpellier, France,
  5-12 July 2000","Nucl.Phys.Proc.Suppl.96:94-97,2001","10.1016/S0920-5632(01)01115-X",,"hep-ph",,"  For processes involving structure functions and/or fragmentation functions,
arguments that there is a part that dominates the NLO corrections are briefly
reviewed. The arguments are tested against more recent NLO and in particular
NNLO calculations.
","[{""version"":""v1"",""created"":""Sun, 9 Sep 2001 15:40:24 GMT""}]","2010-01-18"
