"astro-ph/0111551","Hector DE Vega","H. J. de Vega, J. A. Siebert","Statistical Mechanics of the Self-gravitating gas with two or more kinds
  of Particles","LaTex, 29 pages, 11 .ps figures, expanded version to appear in Phys.
  Rev. E","Phys.Rev. E66 (2002) 016112","10.1103/PhysRevE.66.016112","LPTHE/01-72","astro-ph cond-mat hep-th",,"  We study the statistical mechanics of the self-gravitating gas at thermal
equilibrium with two kinds of particles. We start from the partition function
in the canonical ensemble which we express as a functional integral over the
densities of the two kinds of particles for a large number of particles. The
system is shown to possess an infinite volume limit when (N_1,N_2,V)->infty,
keeping N_1/V^{1/3} and N_2/V^{1/3} fixed. The saddle point approximation
becomes here exact for (N_1,N_2,V)->infty.It provides a nonlinear differential
equation on the particle densities. For the spherically symmetric case, we
compute the densities as functions of two dimensionless physical parameters:
eta_1=G m_1^2 N_1/[V^{1/3} T] and eta_2=G m_2^2 N_2/[V^{1/3} T] (where G is
Newton's constant, m_1 and m_2 the masses of the two kinds of particles and T
the temperature). According to the values of eta_1 and eta_2 the system can be
either in a gaseous phase or in a highly condensed phase.The gaseous phase is
stable for eta_1 and eta_2 between the origin and their collapse values. The
gas is inhomogeneous and the mass M(R) inside a sphere of radius R scales with
R as M(R) propto R^d suggesting a fractal structure. The value of d depends in
general on eta_1 and eta_2 except on the critical line for the canonical ensem-
ble where it takes the universal value d simeq 1.6 for all values of N_1/N_2.
The equation of state is computed.It is found to be locally a perfect gas
equation of state. Thermodynamic functions are computed as functions of eta_1
and eta_2. They exhibit a square root Riemann sheet with the branch points on
the critical canonical line. This treatment is further generalized to the
self-gravitating gas with n-types of particles.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:06:36 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jun 2002 15:35:03 GMT""}]","2009-11-07"
"astro-ph/0111559","Chris J. Willott","Chris J. Willott, Steve Rawlings, Elese N. Archibald, James S. Dunlop","A submillimetre difference between radio galaxies and radio quasars:
  evidence for quasar-heated dust and synchronized submillimetre and radio
  source activity","12 pages, 7 figures, MNRAS in press, typos corrected, refs updated","Mon.Not.Roy.Astron.Soc. 331 (2002) 435","10.1046/j.1365-8711.2002.05209.x",,"astro-ph",,"  We present submillimetre photometry of 11 3CR and 6CE radio quasars of
similar 151-MHz radio luminosity and redshifts to the radio galaxies studied at
1.3<z<2 by Archibald et al. (2001). We detect all bar one quasar at 850
microns, and five quasars are confirmed as dusty hyperluminous objects by
detections at shorter wavelengths. Our observations reveal a clear difference
between the submillimetre luminosity distributions of the radio quasars and a
matched sample of radio galaxies: the quasars are ~5-times brighter than the
radio galaxies and >~2-times brighter accounting for possible synchrotron
contamination. This difference is in quantitative agreement with a
receding-torus unified scheme for radio sources in which the torus opening
angle depends on quasar optical luminosity, provided that there is a close
relationship between the optical and submillimetre luminosities. The
implication is that quasar-heated dust dominates the submillimetre emission for
powerful radio quasars at z~1.5. We find a significant anti-correlation between
submillimetre/far-infrared luminosity L_FIR and radio source age in the sense
that hyperluminous quasars tend to be associated with young (<10^7 yr) sources.
This suggests that the processes controlling L_FIR are synchronized with the
jet-triggering event and that L_FIR declines on a ~10^7 yr timescale. There is
evidence for a small amount of obscuration in the hyperluminous quasars from
reddening and associated or broad absorption lines. We speculate that shortly
after jet triggering, dust is more widely distributed than at later times and
is heated by the quasar nucleus and/or a short-lived synchronized starburst.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:05:50 GMT""},{""version"":""v2"",""created"":""Tue, 15 Jan 2002 15:45:34 GMT""}]","2009-11-07"
"astro-ph/0111560","Sabine Mengel","Sabine Mengel, Matthew D. Lehnert, Niranjan Thatte, and Reinhard
  Genzel","Dynamical Masses of Young Star Clusters in NGC 4038/4039","16 pages, 12 figures, A&A accepted",,"10.1051/0004-6361:20011704",,"astro-ph",,"  In order to estimate the masses of the compact, young star clusters in the
merging galaxy pair, NGC 4038/4039 (``the Antennae''), we have obtained medium
and high resolution spectroscopy using ISAAC on VLT-UT1 and UVES on VLT-UT2 of
five such clusters. The velocity dispersions were estimated using the stellar
absorption features of CO at 2.29 microns and metal absorption lines at around
8500 \AA, including lines of the Calcium Triplet. The size scales and light
profiles were measured from HST images. From these data and assuming Virial
equilibrium, we estimated the masses of five clusters. The resulting masses
range from 6.5 x 10^5 to 4.7 x 10^6 M_sun. These masses are large, factor of a
few to more than 10 larger than the typical mass of a globular cluster in the
Milky Way. The mass-to-light ratios for these clusters in the V- and K-bands in
comparison with stellar synthesis models suggest that to first order the IMF
slopes are approximately consistent with Salpeter for a mass range of 0.1 to
100 M_sun. However, the clusters show a significant range of possible IMF
slopes or lower mass cut-offs and that these variations may correlate with the
interstellar environment of the cluster. Comparison with the results of
Fokker-Planck simulations of compact clusters with properties similar to the
clusters studied here, suggest that they are likely to be long-lived and may
lose a substantial fraction of their total mass. This mass loss would make the
star clusters obtain masses which are comparable to the typical mass of a
globular cluster.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:24:38 GMT""}]","2016-08-30"
"astro-ph/0111561","Ferdi Hulleman","Ferdi Hulleman (Utrecht University)","Optical and near-infrared observations of Anomalous X-ray pulsars","3 pages, 3 figures, to appear in ""Neutron Stars in Supernova
  Remnants"" (ASP Conference Proceedings), eds. P.O. Slane and B.M. Gaensler",,,,"astro-ph",,"  We present recent results of our program of deep optical and near-infrared
observations of AXPs. We find that the counterpart to AXP 4U 0142+61 has a
peculiar spectral energy distribution. The counterpart is remarkably bright in
the near-infrared, but is not detected in the B band. We also present the
possible detection of a second AXP counterpart, namely that of AXP 1E 2259+586.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 16:40:57 GMT""}]","2007-05-23"
"astro-ph/0111562","Fotis P. Gavriil","Fotis P. Gavriil, Victoria M. Kaspi, Deepto Chakrabarty","Long-Term Monitoring of Anomalous X-ray Pulsars","4 pages, 9 figures, To appear in ""Neutron Stars in Supernova
  Remnants"" (ASP Conference Proceedings), eds P. O. Slane and B. M. Gaensler",,,,"astro-ph",,"  We report on long-term monitoring of anomalous X-ray pulsars (AXPs) using the
Rossi X-ray Timing Explorer. Using phase-coherent timing, we find a wide
variety of behaviors among the sources, ranging from high stability (in 1E
2259.1+586 and 4U 0142+61), to instabilities so severe that phase-coherent
timing is not possible (in 1E 1048.1-5937). We note a correlation in which
timing stability in AXPs decreases with increasing spin-down rate. The timing
stability of soft gamma repeaters in quiescence is consistent with this trend,
which is similar to one seen in radio pulsars. We consider high signal-to-noise
ratio average pulse profiles as a function of energy for each AXP, and find a
variety of behaviors. We find no large variability in pulse morphology nor in
pulsed flux as a function of time.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:42:29 GMT""},{""version"":""v2"",""created"":""Thu, 29 Nov 2001 23:35:35 GMT""}]","2009-09-25"
"astro-ph/0111563","Nissim Kanekar","Nissim Kanekar, Jayaram N Chengalur (National Centre for Radio
  Astrophysics (TIFR), India)","Molecular gas at intermediate redshifts","4 pages, 3 figures. Accepted for publication in Astronomy and
  Astrophysics Letters","2002, A&A, 381, L73","10.1051/0004-6361:20011697",,"astro-ph",,"  We present Giant Metrewave Radio Telescope (GMRT) observations of OH
absorption in B3~1504+377 ($z \sim 0.673$) and PKS 1413+135 ($z \sim 0.247$).
OH has now been detected in absorption towards four intermediate redshift
systems, viz. the lensing galaxies towards B~0218+357 ($z \sim 0.685$; Kanekar
et al. 2001) and 1830-211 ($z \sim 0.886$; Chengalur et al. 1999), in addition
to the two systems listed above. All four systems also give rise to well
studied millimetre wavelength molecular line absorption from a host of
molecules, including HCO$^+$. Comparing our OH data with these millimetre line
transitions, we find that the linear correlation between $N_{\rm OH}$ and
$N_{\rm HCO^+}$ found in molecular clouds in the Milky Way (Liszt & Lucas 1996)
persists out to $z \sim 1$. It has been suggested (Liszt & Lucas 1999) that OH
is a good tracer of ${\rm H_2}$, with $N_{\rm H_2}/N_{\rm OH} \approx 10^7$
under a variety of physical conditions. We use this relationship to estimate
$N_{\rm H_2}$ in these absorbers. The estimated $N_{\rm H_2}$ is $\ga 10^{22}$
in all four cases and substantially different from estimates based on CO
observations.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:28:22 GMT""}]","2009-11-07"
"astro-ph/0111564","Valerie Connaughton","V. Connaughton (University of Alabama in Huntsville)","BATSE Observations of Gamma-Ray Burst Tails","33 Pages from LaTex including 7 figures, with aastex. To appear in
  Astrophysical Journal",,"10.1086/338695",,"astro-ph",,"  I discuss in this paper the phenomenon of post-burst emission in BATSE
gamma-ray bursts at energies traditionally associated with prompt emission. By
summing the background-subtracted signals from hundreds of bursts, I find that
tails out to hundreds of seconds after the trigger may be a common feature of
long events (duration greater than 2s), and perhaps of the shorter bursts at a
lower and shorter-lived level. The tail component appears independent of both
the duration (within the long GRB sample) and brightness of the prompt burst
emission, and may be softer. Some individual bursts have visible tails at
gamma-ray energies and the spectrum in at least a few cases is different from
that of the prompt emission.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:37:44 GMT""}]","2009-11-07"
"astro-ph/0111565","Kristen Menou","Kristen Menou (1), Rosalba Perna (2,3), Lars Hernquist (3) ((1)
  Princeton University, (2) IAS-CNR Rome, (3) Harvard-Smithsonian Center for
  Astrophysics)","Hydrogen-Poor Disks in Compact X-Ray Binaries","10 pages, accepted for publication in ApJL",,"10.1086/338909",,"astro-ph",,"  We show that accretion disks in several compact X-ray binaries with
hydrogen-depleted donors are likely subject to a thermal ionization
instability, unless they are strongly irradiated. These disks are particularly
interesting in that their MHD-turbulent properties in the neutral phase may be
quite different from those of standard, hydrogen-rich disks.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:55:14 GMT""}]","2009-11-07"
"astro-ph/0111566","J. Christopher Howk","J. Christopher Howk (JHU), Kenneth R. Sembach (STScI), Blair D. Savage
  (Wisconsin), Derck Massa (EIT), Scott D. Friedman (JHU), Alex W. Fullerton
  (JHU)","The Global Content, Distribution, and Kinematics of Interstellar O VI in
  the Large Magellanic Cloud","Accepted for publiction in the ApJ. 39 pages, including 9 figures and
  6 tables. Version with full resolution figures available at
  http://fuse.pha.jhu.edu/~howk/Papers/",,"10.1086/339322",,"astro-ph",,"  We present FUSE observations of interstellar O VI absorption towards 12
early-type stars in the Large Magellanic Cloud (LMC). O VI 1031.926 Ang
absorption at LMC velocities is seen towards all 12 stars. The observed columns
are in the range log N(O VI)=13.9 to 14.6, with a mean of 14.37. The
observations probe several sight lines projected onto known superbubbles, but
these show relatively little (if any) enhancement in O VI column density
compared to sight lines towards relatively quiescent regions of the LMC. The
observed LMC O VI absorption is broad, with Gaussian dispersions of 30 to 50
km/sec, implying temperatures T<(2-5)x10^6 K. The O VI absorption is typically
displaced -30 km/sec from the corresponding low-ionization absorption
associated with the bulk of the LMC gas. The properties of the LMC O VI
absorption are very similar to those of the Milky Way halo. The average column
density of O VI and the dispersion of the individual measurements about the
mean are identical to those measured for the halo of the Milky Way, even though
the metallicity of the LMC is a factor of ~2.5 lower than the Milky Way. Much
of the LMC O VI may arise in a vertically-extended distribution similar to the
Galactic halo. If the observed O VI absorption is tracing a radiatively cooling
galactic fountain flow, the mass flow rate from one side of the LMC disk is of
the order 1 Msun/yr, with a mass flux per unit area of the disk ~0.02
Msun/yr/kpc^2. (abridged)
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 19:32:27 GMT""},{""version"":""v2"",""created"":""Wed, 5 Dec 2001 16:01:39 GMT""}]","2009-11-07"
"astro-ph/0111567","Axel Brandenburg","A. Brandenburg (Nordita), W. Dobler (KIS), K. Subramanian (IUCAA)","Magnetic helicity in stellar dynamos: new numerical experiments","23 pages, 27 figures, Astron. Nachr","Astron.Nachr. 323 (2002) 99-122","10.1002/1521-3994(200207)323:2<99::AID-ASNA99>3.0.CO;2-B","NORDITA-2001-85 AP","astro-ph",,"  The theory of large scale dynamos is reviewed with particular emphasis on the
magnetic helicity constraint in the presence of closed and open boundaries. In
the presence of closed or periodic boundaries, helical dynamos respond to the
helicity constraint by developing small scale separation in the kinematic
regime, and by showing long time scales in the nonlinear regime where the scale
separation has grown to the maximum possible value. A resistively limited
evolution towards saturation is also found at intermediate scales before the
largest scale of the system is reached. Larger aspect ratios can give rise to
different structures of the mean field which are obtained at early times, but
the final saturation field strength is still decreasing with decreasing
resistivity. In the presence of shear, cyclic magnetic fields are found whose
period is increasing with decreasing resistivity, but the saturation energy of
the mean field is in strong super-equipartition with the turbulent energy. It
is shown that artificially induced losses of small scale field of opposite sign
of magnetic helicity as the large scale field can, at least in principle,
accelerate the production of large scale (poloidal) field. Based on mean field
models with an outer potential field boundary condition in spherical geometry,
we verify that the sign of the magnetic helicity flux from the large scale
field agrees with the sign of alpha. For solar parameters, typical magnetic
helicity fluxes lie around 10^{47} Mx^2 per cycle.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 20:14:25 GMT""},{""version"":""v2"",""created"":""Mon, 29 Apr 2002 19:53:20 GMT""},{""version"":""v3"",""created"":""Tue, 30 Apr 2002 17:59:38 GMT""}]","2009-11-07"
"astro-ph/0111568","Axel Brandenburg","Axel Brandenburg and Dmitry Sokoloff","Local and nonlocal magnetic diffusion and alpha-effect tensors in shear
  flow turbulence","30 pages, 14 figures, to appear in Geophys. & Astrophys. Fluid
  Dynamics","Geophys.Astrophys.Fluid Dynamics 96 (2002) 319-344","10.1080/03091920290032974","NORDITA-2001-86 AP","astro-ph",,"  Various approaches to estimate turbulent transport coefficients from
numerical simulations of hydromagnetic turbulence are discussed. A quantitative
comparison between the averaged magnetic field obtained from a specific
three-dimensional simulation of a rotating turbulent shear flow in a slab and a
simple one-dimensional alpha-omega dynamo model is given. A direct
determination of transport coefficients is attempted by calculating the
correlation matrix of different components of the field and its derivatives.
The alpha-effect operating on the toroidal field is found to be negative and of
similar magnitude as the value obtained previously by correlating the
electromotive force with the mean magnetic field. The turbulent diffusion of
the toroidal field is comparable to the kinematic viscosity that was determined
earlier by comparing the stress with the shear. However, the turbulent
diffusion of the radial field component is smaller and can even be formally
negative. The method is then modified to obtain the spectral dependence of the
turbulent transport coefficients on the wavenumber. There is evidence for
nonlocal behavior in that most of the response comes from the smallest
wavenumbers corresponding to the largest scale possible in the simulation.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 20:56:14 GMT""},{""version"":""v2"",""created"":""Wed, 7 Aug 2002 06:39:48 GMT""}]","2009-11-07"
